step	corr
0	0.011450128031319772
1	0.2487945990173111
2	0.37211503588157524
3	0.41420825779762227
4	0.44050675593900235
5	0.45528085227010495
6	0.48476437887729673
7	0.4789640028322942
8	0.49337307579149636
9	0.5101294942292585
10	0.5263731969812607
11	0.5416253021987152
12	0.5431713756435081
13	0.5426140900823371
14	0.5717894618713291
15	0.5735826561474601
16	0.5870289180908652
17	0.585797051268245
18	0.6137338598651765
19	0.6049922403869558
20	0.6152156105602833
21	0.6283449124536924
22	0.620626887469222
23	0.6275633618430332
24	0.6458528627646714
25	0.6475825815601448
26	0.6607190114417021
27	0.6705228665309895
